SPNAMES_jetz;SPNAMES_merge_jetz-birdlife;SPNAMES_birdlife;SPENG_jetz;SPENG_birdlife;Order;MIG_strategy;DIST_QUALI;DIST_QUANTI_MIGONLY;DIST_QUANTI_ALLSP;LENGTH_BREEDINGA;BodyMass;Diet.Inv;Diet.Vend;Diet.Vect;Diet.Vfish;Diet.Vunk;Diet.Scav;Diet.Fruit;Diet.Nect;Diet.Seed;Diet.PlantO;Diet.5Cat;Diet_breadth;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;For_breadth
Lanius_newtoni;Lanius_newtoni;Lanius_newtoni;Sao-Tome-Fiscal;Newtons-Fiscal;PASSERIFORMES;1_resident;1_resident;0;0;5;22.4;100;0;0;0;0;0;0;0;0;0;Invertebrate;1;0;0;100;0;0;0;0;1
Lanius_nubicus;Lanius_nubicus;Lanius_nubicus;Masked-Shrike;Masked-Shrike;PASSERIFORMES;3_strict_migrant;3_variable;2417.1329395045;2417.1329395045;1767;19.7;80;10;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;33;33;0;33;0;3
Lanius_schach;Lanius_schach;Lanius_schach;Long-tailed-Shrike;Long-tailed-Shrike;PASSERIFORMES;2_partial_migrant;2_short;1333.78948314021;1333.78948314021;39270;51.51;60;20;20;0;0;0;0;0;0;0;Invertebrate;3;0;0;80;10;10;0;0;3
Lanius_senator;Lanius_senator;Lanius_senator;Woodchat-Shrike;Woodchat-Shrike;PASSERIFORMES;3_strict_migrant;4_long;3027.64009791071;3027.64009791071;12141;35.97;80;10;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;100;0;0;0;0;1
Lanius_somalicus;Lanius_somalicus;Lanius_somalicus;Somali-Fiscal;Somali-Fiscal;PASSERIFORMES;1_resident;1_resident;0;279.693543401563;2852;45.3;70;20;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;100;0;0;0;0;1
Lanius_souzae;Lanius_souzae;Lanius_souzae;Souzas-Shrike;Souzas-Shrike;PASSERIFORMES;1_resident;1_resident;0;384.705870886598;5662;26.3;90;0;0;0;10;0;0;0;0;0;Invertebrate;2;0;0;50;50;0;0;0;2
Lanius_sphenocercus;Lanius_sphenocercus;Lanius_sphenocercus;Chinese-Grey-Shrike;Chinese-Grey-Shrike;PASSERIFORMES;2_partial_migrant;3_variable;760.557974331684;760.557974331684;9979;92.1;80;10;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;80;20;0;0;0;2
Lanius_tephronotus;Lanius_tephronotus;Lanius_tephronotus;Grey-backed-Shrike;Grey-backed-Shrike;PASSERIFORMES;3_strict_migrant;2_short;765.974387067552;765.974387067552;5348;46.35;80;10;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;100;0;0;0;0;1
Lanius_tigrinus;Lanius_tigrinus;Lanius_tigrinus;Tiger-Shrike;Tiger-Shrike;PASSERIFORMES;3_strict_migrant;3_variable;1646.06907768519;1646.06907768519;11244;30.14;80;10;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;25;25;25;25;0;4
Lanius_validirostris;Lanius_validirostris;Lanius_validirostris;Mountain-Shrike;Mountain-Shrike;PASSERIFORMES;1_resident;1_resident;0;78.0531900444696;130;37.5;100;0;0;0;0;0;0;0;0;0;Invertebrate;1;0;0;100;0;0;0;0;1
Lanius_vittatus;Lanius_vittatus;Lanius_vittatus;Bay-backed-Shrike;Bay-backed-Shrike;PASSERIFORMES;2_partial_migrant;2_short;846.340052067962;846.340052067962;14235;20.8;80;10;10;0;0;0;0;0;0;0;Invertebrate;3;0;0;100;0;0;0;0;1
Larosterna_inca;Larosterna_inca;Larosterna_inca;Inca-Tern;Inca-Tern;CHARADRIIFORMES;2_partial_migrant;2_short;877.516974371047;877.516974371047;1772;219;20;0;0;60;0;20;0;0;0;0;VertFishScav;3;0;100;0;0;0;0;0;1
Larus_argentatus;Larus_argentatus;Larus_argentatus;Herring-Gull;European-Herring-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;818.489309550703;818.489309550703;12802;1090.99;30;10;0;40;0;20;0;0;0;0;VertFishScav;4;20;40;40;0;0;0;0;3
Larus_armenicus;Larus_armenicus;Larus_armenicus;Armenian-Gull;Armenian-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;522.289756110454;522.289756110454;519;866.99;30;0;0;40;0;30;0;0;0;0;VertFishScav;3;10;40;50;0;0;0;0;3
